0.632127,0.654081,0.685957,0.709519,0.709702,0.683236,0.641786,0.606923,0.598448,0.622432,0.666919,0.708480,0.725255,0.708480,0.666919,0.622432,0.598448,0.606923,0.641786,0.683236,0.709702,0.709519,0.685957,0.654081,0.632127
0.607278,0.626922,0.655367,0.676327,0.676500,0.652974,0.615973,0.584734,0.577130,0.598656,0.638459,0.675471,0.690352,0.675471,0.638459,0.598656,0.577130,0.584734,0.615973,0.652974,0.676500,0.676327,0.655367,0.626922,0.607278
0.572215,0.589236,0.613819,0.631886,0.632052,0.611804,0.579831,0.552738,0.546137,0.564846,0.599327,0.631251,0.644047,0.631251,0.599327,0.564846,0.546137,0.552738,0.579831,0.611804,0.632052,0.631886,0.613819,0.589236,0.572215
0.532928,0.547407,0.568298,0.583640,0.583799,0.566644,0.539501,0.516462,0.510849,0.526788,0.556114,0.583215,0.594065,0.583215,0.556114,0.526788,0.510849,0.516462,0.539501,0.566644,0.583799,0.583640,0.568298,0.547407,0.532928
0.493982,0.506171,0.523765,0.536697,0.536849,0.522428,0.499609,0.480248,0.475537,0.488952,0.513631,0.536449,0.545588,0.536449,0.513631,0.488952,0.475537,0.480248,0.499609,0.522428,0.536849,0.536697,0.523765,0.506171,0.493982
0.458405,0.468596,0.483334,0.494186,0.494330,0.482264,0.463197,0.447051,0.443129,0.454333,0.474960,0.494077,0.501744,0.494077,0.474960,0.454333,0.443129,0.447051,0.463197,0.482264,0.494330,0.494186,0.483334,0.468596,0.458405
0.427945,0.436422,0.448715,0.457793,0.457927,0.447867,0.432009,0.418614,0.415365,0.424678,0.441831,0.457788,0.464200,0.457788,0.441831,0.424678,0.415365,0.418614,0.432009,0.447867,0.457927,0.457793,0.448715,0.436422,0.427945
0.403396,0.410413,0.420625,0.428197,0.428319,0.419957,0.406824,0.395751,0.393063,0.400789,0.414989,0.428264,0.433612,0.428264,0.414989,0.400789,0.393063,0.395751,0.406824,0.419957,0.428319,0.428197,0.420625,0.410413,0.403396
0.384878,0.390660,0.399104,0.405399,0.405510,0.398580,0.387758,0.378607,0.376379,0.382799,0.394510,0.405514,0.409966,0.405514,0.394510,0.382799,0.376379,0.378607,0.387758,0.398580,0.405510,0.405399,0.399104,0.390660,0.384878
0.372069,0.376823,0.383761,0.388972,0.389071,0.383352,0.374488,0.366887,0.365030,0.370398,0.380036,0.389115,0.392813,0.389115,0.380036,0.370398,0.365030,0.366887,0.374488,0.383352,0.389071,0.388972,0.383761,0.376823,0.372069
0.364375,0.368314,0.373960,0.378244,0.378330,0.373643,0.366432,0.360029,0.358468,0.363003,0.370964,0.378400,0.381462,0.378400,0.370964,0.363003,0.358468,0.360029,0.366432,0.373643,0.378330,0.378244,0.373960,0.368314,0.364375
0.361056,0.364429,0.368957,0.372436,0.372510,0.368711,0.362861,0.357343,0.356024,0.359895,0.366578,0.372593,0.375109,0.372593,0.366578,0.359895,0.356024,0.357343,0.362861,0.368711,0.372510,0.372436,0.368957,0.364429,0.361056
0.362689,0.364449,0.367992,0.370762,0.370823,0.367804,0.363516,0.362109,0.362071,0.362496,0.366152,0.370908,0.372944,0.370908,0.366152,0.362496,0.362071,0.362109,0.363516,0.367804,0.370823,0.370762,0.367992,0.364449,0.362689
0.385403,0.384209,0.382489,0.381350,0.381326,0.382563,0.384744,0.386399,0.386720,0.385694,0.383372,0.381356,0.380733,0.381356,0.383372,0.385694,0.386720,0.386399,0.384744,0.382563,0.381326,0.381350,0.382489,0.384209,0.385403
0.403775,0.404134,0.404442,0.404436,0.404419,0.404387,0.403899,0.403245,0.403075,0.403550,0.404216,0.404334,0.404177,0.404334,0.404216,0.403550,0.403075,0.403245,0.403899,0.404387,0.404419,0.404436,0.404442,0.404134,0.403775
0.417047,0.417140,0.417417,0.417740,0.417752,0.417419,0.417139,0.417105,0.417123,0.417121,0.417323,0.417811,0.418091,0.417811,0.417323,0.417121,0.417123,0.417105,0.417139,0.417419,0.417752,0.417740,0.417417,0.417140,0.417047
0.432654,0.432493,0.432221,0.431998,0.431987,0.432212,0.432525,0.432726,0.432765,0.432641,0.432338,0.431992,0.431846,0.431992,0.432338,0.432641,0.432765,0.432726,0.432525,0.432212,0.431987,0.431998,0.432221,0.432493,0.432654
0.446438,0.446507,0.446592,0.446635,0.446628,0.446567,0.446445,0.446333,0.446307,0.446385,0.446516,0.446604,0.446622,0.446604,0.446516,0.446385,0.446307,0.446333,0.446445,0.446567,0.446628,0.446635,0.446592,0.446507,0.446438
0.459135,0.459147,0.459181,0.459219,0.459219,0.459176,0.459141,0.459135,0.459140,0.459146,0.459178,0.459242,0.459279,0.459242,0.459178,0.459146,0.459140,0.459135,0.459141,0.459176,0.459219,0.459219,0.459181,0.459147,0.459135
0.471765,0.471736,0.471689,0.471648,0.471641,0.471673,0.471720,0.471754,0.471763,0.471744,0.471698,0.471647,0.471624,0.471647,0.471698,0.471744,0.471763,0.471754,0.471720,0.471673,0.471641,0.471648,0.471689,0.471736,0.471765
0.483812,0.483819,0.483826,0.483826,0.483819,0.483806,0.483787,0.483771,0.483769,0.483782,0.483801,0.483813,0.483816,0.483813,0.483801,0.483782,0.483769,0.483771,0.483787,0.483806,0.483819,0.483826,0.483826,0.483819,0.483812
0.495489,0.495496,0.495506,0.495513,0.495509,0.495492,0.495474,0.495463,0.495464,0.495474,0.495494,0.495516,0.495526,0.495516,0.495494,0.495474,0.495464,0.495463,0.495474,0.495492,0.495509,0.495513,0.495506,0.495496,0.495489
0.507130,0.507126,0.507120,0.507113,0.507107,0.507103,0.507102,0.507104,0.507107,0.507111,0.507114,0.507116,0.507117,0.507116,0.507114,0.507111,0.507107,0.507104,0.507102,0.507103,0.507107,0.507113,0.507120,0.507126,0.507130
0.518296,0.518294,0.518289,0.518282,0.518275,0.518269,0.518265,0.518263,0.518265,0.518270,0.518276,0.518280,0.518281,0.518280,0.518276,0.518270,0.518265,0.518263,0.518265,0.518269,0.518275,0.518282,0.518289,0.518294,0.518296
0.528618,0.528618,0.528616,0.528612,0.528605,0.528596,0.528588,0.528584,0.528585,0.528592,0.528601,0.528609,0.528612,0.528609,0.528601,0.528592,0.528585,0.528584,0.528588,0.528596,0.528605,0.528612,0.528616,0.528618,0.528618
0.538089,0.538089,0.538087,0.538083,0.538075,0.538066,0.538059,0.538055,0.538056,0.538063,0.538073,0.538081,0.538084,0.538081,0.538073,0.538063,0.538056,0.538055,0.538059,0.538066,0.538075,0.538083,0.538087,0.538089,0.538089
0.546633,0.546632,0.546630,0.546625,0.546617,0.546608,0.546601,0.546597,0.546599,0.546606,0.546615,0.546623,0.546626,0.546623,0.546615,0.546606,0.546599,0.546597,0.546601,0.546608,0.546617,0.546625,0.546630,0.546632,0.546633
0.553935,0.553935,0.553932,0.553927,0.553919,0.553909,0.553901,0.553897,0.553900,0.553907,0.553917,0.553925,0.553928,0.553925,0.553917,0.553907,0.553900,0.553897,0.553901,0.553909,0.553919,0.553927,0.553932,0.553935,0.553935
0.559278,0.559277,0.559274,0.559268,0.559260,0.559250,0.559241,0.559237,0.559240,0.559247,0.559257,0.559266,0.559269,0.559266,0.559257,0.559247,0.559240,0.559237,0.559241,0.559250,0.559260,0.559268,0.559274,0.559277,0.559278
0.561124,0.561123,0.561120,0.561114,0.561105,0.561095,0.561086,0.561082,0.561085,0.561092,0.561103,0.561111,0.561115,0.561111,0.561103,0.561092,0.561085,0.561082,0.561086,0.561095,0.561105,0.561114,0.561120,0.561123,0.561124
0.560624,0.560623,0.560620,0.560614,0.560605,0.560594,0.560586,0.560582,0.560584,0.560592,0.560602,0.560611,0.560614,0.560611,0.560602,0.560592,0.560584,0.560582,0.560586,0.560594,0.560605,0.560614,0.560620,0.560623,0.560624
0.559782,0.559781,0.559778,0.559772,0.559763,0.559753,0.559745,0.559741,0.559743,0.559751,0.559761,0.559769,0.559773,0.559769,0.559761,0.559751,0.559743,0.559741,0.559745,0.559753,0.559763,0.559772,0.559778,0.559781,0.559782
0.558627,0.558626,0.558623,0.558618,0.558609,0.558599,0.558591,0.558587,0.558589,0.558596,0.558606,0.558615,0.558618,0.558615,0.558606,0.558596,0.558589,0.558587,0.558591,0.558599,0.558609,0.558618,0.558623,0.558626,0.558627
0.557180,0.557179,0.557176,0.557170,0.557162,0.557152,0.557144,0.557140,0.557142,0.557149,0.557159,0.557167,0.557170,0.557167,0.557159,0.557149,0.557142,0.557140,0.557144,0.557152,0.557162,0.557170,0.557176,0.557179,0.557180
0.555466,0.555465,0.555462,0.555457,0.555449,0.555439,0.555431,0.555428,0.555430,0.555437,0.555446,0.555454,0.555457,0.555454,0.555446,0.555437,0.555430,0.555428,0.555431,0.555439,0.555449,0.555457,0.555462,0.555465,0.555466
0.553521,0.553520,0.553517,0.553512,0.553504,0.553494,0.553487,0.553483,0.553485,0.553492,0.553501,0.553509,0.553512,0.553509,0.553501,0.553492,0.553485,0.553483,0.553487,0.553494,0.553504,0.553512,0.553517,0.553520,0.553521
0.551376,0.551376,0.551373,0.551368,0.551360,0.551351,0.551344,0.551341,0.551342,0.551349,0.551358,0.551365,0.551368,0.551365,0.551358,0.551349,0.551342,0.551341,0.551344,0.551351,0.551360,0.551368,0.551373,0.551376,0.551376
0.549065,0.549064,0.549061,0.549056,0.549049,0.549041,0.549034,0.549030,0.549032,0.549038,0.549047,0.549054,0.549057,0.549054,0.549047,0.549038,0.549032,0.549030,0.549034,0.549041,0.549049,0.549056,0.549061,0.549064,0.549065
0.546612,0.546611,0.546608,0.546604,0.546597,0.546589,0.546582,0.546579,0.546581,0.546587,0.546595,0.546601,0.546604,0.546601,0.546595,0.546587,0.546581,0.546579,0.546582,0.546589,0.546597,0.546604,0.546608,0.546611,0.546612
0.544039,0.544038,0.544036,0.544031,0.544025,0.544017,0.544011,0.544008,0.544010,0.544015,0.544023,0.544029,0.544032,0.544029,0.544023,0.544015,0.544010,0.544008,0.544011,0.544017,0.544025,0.544031,0.544036,0.544038,0.544039
